Dactron Signal Analysis System

Signal Analysis and Waveform Source Run Log	13:56:18, Monday, January 07, 2019

ENTRY TIME	SOURCE	DESCRIPTION
  		  	  
13:56:50, Jan 07, 19	User Command	Stop the Test
13:57:44, Jan 07, 19	User Command	Stop the Test
13:02:16, Jan 14, 19	User Command	Stop DA output
13:02:16, Jan 14, 19	User Command	Reset the Hardware
09:58:30, Feb 28, 19	User Command	Stop DA output
09:58:30, Feb 28, 19	User Command	Reset the Hardware
14:56:05, Feb 25, 26	User Command	Stop DA output
14:56:05, Feb 25, 26	User Command	Reset the Hardware
15:00:32, Feb 25, 26	User Command	Stop DA output
15:00:32, Feb 25, 26	User Command	Reset the Hardware
15:01:41, Feb 25, 26	User Command	Stop DA output
15:01:41, Feb 25, 26	User Command	Reset the Hardware
15:20:01, Feb 25, 26	User Command	Stop DA output
15:20:01, Feb 25, 26	User Command	Reset the Hardware
15:33:25, Feb 25, 26	User Command	Stop DA output
15:33:25, Feb 25, 26	User Command	Reset the Hardware
15:34:12, Feb 25, 26	User Command	Stop DA output
15:34:12, Feb 25, 26	User Command	Reset the Hardware
15:40:20, Feb 25, 26	User Command	Stop DA output
15:40:20, Feb 25, 26	User Command	Reset the Hardware
15:57:33, Feb 25, 26	User Command	Stop DA output
15:57:33, Feb 25, 26	User Command	Reset the Hardware
